Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C2, C3, C4, C5, C6, C7, C8, C9",0805,17,C 10uf,https://robu.in/product/10uf-10000nf-50v-capacitor-0805-smd-package-pack-of-5/#tab-specification
"C18, C30, C31, C32, C33, C34",0805,6,1uf,https://robu.in/product/1uf-1000nf-50v-capacitor-0805-smd-package-pack-of-10/
"C19, C21",0603,2,47nf,https://robu.in/product/47nf-50v-capacitor-0603-smd-package-pack-of-30/
C20,0603,1,0.1uf,https://robu.in/product/0-1uf-capacitor-smdc-0603/
"C22, C23",0805,2,33nf,https://robu.in/product/33nf-0805-surface-mount-multilayer-ceramic-capacitor-pack-of-50/
C24,1206,1,2.2uf,https://robu.in/product/cs3216x7r225k500nri-samwha-50v-2-2uf-x7r-%C2%B110-1206-multilayer-ceramic-capacitors-mlcc-smd-smt-rohs/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWez-4uIsPU8kN7QaZXojl8Nx&gclid=Cj0KCQiAk6rNBhCxARIsAN5mQLu4P3mbwqSfoiOgoZc18y9ors1pnUlGGtfe9OsnrAWCB2ogXfLDYasaAueUEALw_wcB#tab-specification
C25,0805,1,33pf,https://robu.in/product/33pf-0603-surface-mount-multilayer-ceramic-capacitor-pack-of-50/
C26,0805,1,1800pf,https://robu.in/product/1-8nf-1800pf-50v-capacitor-0805-smd-package-pack-of-30/
C27,0603,1,100pf,https://robu.in/product/100pf-0603-surface-mount-multilayer-ceramic-capacitor-pack-of-50/
C28,0402,1,15pf,https://robu.in/product/gjm1555c1h150fb01d-murata-electronics-50v-15pf-c0g-%c2%b11-0402-multilayer-ceramic-capacitors-mlcc-smd-smt-rohs/
C29,0603,1,680pf,https://robu.in/product/680pf-0-68nf-50v-capacitor-0603-smd-package-pack-of-30/
"D1, D2, D3, D4",LED_D5.0mm,4,LED,
J1,AMASS_XT60PW-M,1,XT60PW-M,https://robu.in/product/amass-xt60pw30-male-connector-xt60pw-m-g-y/?gad_source=1&gad_campaignid=17427802559&gbraid=0AAAAADvLFWdmOH57O7KPf508CymjK6fEf&gclid=CjwKCAjw687NBhB4EiwAQ645dgohd97JAgTRTcWseFs2VOjpZJynpftucunJhgflPctHm7zj2Ob9ThoCzoMQAvD_BwE
"J2, J6",PinHeader_1x01_P2.54mm_Vertical,2,Conn_01x01,
J3,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,1,balance_plug_4s,https://roboticsdna.in/product/5-pin-jst-male-female-pair-connector-with-crimp-terminal-contact-housing-pack-of-2/?srsltid=AfmBOoo5esS3edhxXl3joBQF2MKR2T6vDm7Wuc775a9aj8276ph4hqzP&utm_source=chatgpt.com
J4,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05,
"J5, J8",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04,
J7,PinHeader_1x07_P2.54mm_Vertical,1,Conn_01x07,
