Designator,Mid X,Mid Y,Rotation,Layer
C1,104.7622,-66.421,90.0,top
C10,137.2742,-61.6204,90.0,top
C11,140.2842,-61.6204,90.0,top
C12,143.2942,-61.6204,90.0,top
C13,141.9732,-57.023,90.0,top
C14,144.9832,-57.023,90.0,top
C15,137.4864,-66.2426,90.0,top
C16,140.4964,-66.2426,90.0,top
C17,162.767,-70.3756,270.0,top
C18,154.973,-70.5386,270.0,top
C19,122.5296,-67.6656,0.0,top
C2,107.7722,-66.421,90.0,top
C20,159.338,-69.4866,0.0,top
C21,126.3904,-67.6656,180.0,top
C22,112.4568,-75.9536,270.0,top
C23,106.0268,-75.9236,270.0,top
C24,119.0498,-51.0032,0.0,top
C25,124.9172,-82.0928,270.0,top
C26,158.3944,-105.8926,0.0,top
C27,116.6622,-78.6892,270.0,bottom
C28,129.9464,-80.9244,0.0,top
C29,133.477,-80.3402,270.0,top
C3,105.2448,-59.0003,90.0,top
C30,161.615,-122.1695,90.0,top
C31,162.4649,-101.4939,90.0,top
C32,161.6053,-112.2361,90.0,top
C33,162.7013,-81.5998,90.0,top
C34,162.9632,-92.641,90.0,top
C4,108.2548,-59.0003,90.0,top
C5,99.1362,-62.23,90.0,top
C6,102.1462,-62.23,90.0,top
C7,99.2632,-66.5773,90.0,top
C8,102.2604,-66.5988,90.0,top
C9,143.6876,-66.3194,90.0,top
J1,183.542,-65.278,270.0,top
J3,185.1914,-88.9084,0.0,top
J4,152.0698,-96.7554,180.0,top
J5,167.7406,-130.9623,270.0,top
J7,117.9322,-91.9226,270.0,top
L1,127.635,-57.8612,0.0,top
MOSFET1,174.7404,-76.943401,0.0,top
MOSFET2,138.0998,-72.5678,180.0,top
MOSFET3,174.7114,-90.961734,0.0,top
MOSFET4,173.6814,-104.980067,0.0,top
MOSFET5,172.7714,-118.9984,0.0,top
Q1,174.3989,-83.5384,0.0,top
Q2,117.7184,-72.4662,180.0,top
Q3,133.0452,-71.8164,270.0,top
Q4,114.3,-66.4612,90.0,top
Q5,133.3246,-66.2686,0.0,top
Q6,174.3989,-97.631733,0.0,top
Q7,174.3989,-111.725067,0.0,top
Q8,174.4289,-125.7284,0.0,top
R1,170.6914,-77.1184,270.0,top
R11,158.3474,-72.6362,270.0,top
R12,160.1,-72.6616,270.0,top
R13,169.1314,-105.0084,270.0,top
R15,170.5114,-111.8084,270.0,top
R16,168.3314,-119.0184,270.0,top
R17,114.6048,-85.6996,270.0,top
R18,135.6868,-77.4446,270.0,top
R19,126.8476,-82.1944,270.0,top
R2,155.6512,-113.0808,0.0,top
R20,135.7884,-81.2292,270.0,top
R21,170.5114,-125.8184,270.0,top
R23,115.2652,-78.3336,270.0,bottom
R24,124.3584,-87.3252,270.0,top
R25,130.556,-79.4004,0.0,top
R26,116.586,-85.6488,90.0,top
R27,119.0244,-85.7504,90.0,top
R28,121.6152,-85.7504,90.0,top
R29,110.4138,-85.6488,90.0,top
R3,170.9614,-83.7484,270.0,top
R30,112.522,-85.6742,90.0,top
R31,126.2888,-87.376,90.0,top
R32,159.7725,-98.9031,270.0,top
R33,158.9637,-109.1165,270.0,top
R34,158.7194,-119.6295,270.0,top
R35,159.5517,-79.771,270.0,top
R36,159.5088,-88.9326,270.0,top
R37,158.6686,-124.0491,270.0,top
R39,158.8621,-113.0997,270.0,top
R4,149.4536,-66.1924,0.0,top
R40,159.6025,-83.4286,270.0,top
R41,159.5596,-93.5046,270.0,top
R42,137.8204,-77.4954,270.0,top
R43,181.8386,-97.1062,0.0,top
R44,181.8386,-102.0162,0.0,top
R45,181.8386,-106.9262,0.0,top
R46,181.8386,-111.8362,0.0,top
R5,160.0454,-45.9994,0.0,top
R6,170.3814,-90.9584,270.0,top
R7,108.2984,-74.2672,270.0,top
R8,110.3884,-74.2372,270.0,top
R9,170.6514,-97.7984,270.0,top
U1,124.0282,-72.6186,0.0,top
